Datum von,Jahr,Monat,Biomasse [MWh],Wasserkraft [MWh],Wind Offshore [MWh],Wind Onshore [MWh],Photovoltaik [MWh],Sonstige Erneuerbare [MWh],Kernenergie [MWh],Braunkohle [MWh],Steinkohle [MWh],Erdgas [MWh],Pumpspeicher [MWh],Sonstige Konventionelle [MWh],Biomasse [TWh],Wasserkraft [TWh],Wind Offshore [TWh],Wind Onshore [TWh],Photovoltaik [TWh],Sonstige Erneuerbare [TWh],Kernenergie [TWh],Braunkohle [TWh],Steinkohle [TWh],Erdgas [TWh],Pumpspeicher [TWh],Sonstige Konventionelle [TWh]
2015-01-01,2015,Januar,3479938.77,1186617.59,264490.14,9404178.83,560194.61,175611.97,8201762.38,11800183.18,6387685.58,1405688.92,762023.04,839702.19,3.47993877,1.18661759,0.26449014000000004,9.40417883,0.56019461,0.17561197,8.20176238,11.80018318,6.38768558,1.40568892,0.76202304,0.8397021899999999
2015-02-01,2015,Februar,3153613.46,871004.8,284790.22,5181228.19,1367809.39,154664.97,7498808.73,11249755.3,7886895.71,1615352.6,651887.77,797723.97,3.15361346,0.8710048,0.28479022,5.181228190000001,1.36780939,0.15466497,7.49880873,11.2497553,7.88689571,1.6153526,0.65188777,0.79772397
2015-03-01,2015,März,3437602.13,1030917.99,434443.05,6865747.54,2839770.88,156243.35,7308641.32,12177183.02,7320063.65,1359908.55,718934.49,817338.79,3.4376021299999997,1.03091799,0.43444305,6.86574754,2.83977088,0.15624335,7.30864132,12.17718302,7.320063650000001,1.35990855,0.71893449,0.8173387900000001
2015-04-01,2015,April,3269723.3,1248928.32,379940.4,4837677.66,4380466.76,151245.19,6858356.45,10200743.22,5994324.95,850196.84,676779.64,770986.52,3.2697233,1.24892832,0.3799404,4.83767766,4.38046676,0.15124519,6.8583564500000005,10.200743220000001,5.99432495,0.85019684,0.67677964,0.77098652
2015-05-01,2015,Mai,3361025.36,1560655.41,566551.4,4848138.13,4366740.0,136081.97,6930784.48,8935798.05,4295091.75,866135.02,747062.94,714053.44,3.3610253599999997,1.5606554099999999,0.5665514,4.84813813,4.36674,0.13608197,6.930784480000001,8.93579805,4.29509175,0.86613502,0.74706294,0.7140534399999999
2015-06-01,2015,Juni,3148634.57,1530080.42,482704.86,3703068.02,4565107.66,130830.06,6255284.14,9783882.06,5766215.62,785115.21,713295.32,715374.22,3.14863457,1.53008042,0.48270486,3.70306802,4.56510766,0.13083006,6.25528414,9.78388206,5.7662156200000005,0.78511521,0.71329532,0.71537422
2015-07-01,2015,Juli,3154176.33,1428882.87,711055.23,5258582.06,4919012.42,128932.93,5087525.84,11028702.59,6224532.46,1135712.59,713222.58,702168.93,3.15417633,1.42888287,0.7110552299999999,5.258582059999999,4.91901242,0.12893293,5.08752584,11.02870259,6.22453246,1.13571259,0.7132225799999999,0.70216893
2015-08-01,2015,August,3171875.11,1294891.54,573051.14,3325961.09,4619954.6,126557.45,7067474.42,11690165.04,6408932.47,854279.14,640851.4,685433.04,3.1718751099999998,1.29489154,0.57305114,3.32596109,4.6199546,0.12655745,7.06747442,11.690165039999998,6.40893247,0.85427914,0.6408514000000001,0.68543304
2015-09-01,2015,September,3215482.95,1123136.94,770218.89,4861013.13,3187844.77,141784.91,7292421.45,12245028.06,7751902.28,880402.71,587981.82,1034335.82,3.21548295,1.12313694,0.77021889,4.86101313,3.18784477,0.14178491000000001,7.29242145,12.245028060000001,7.75190228,0.8804027099999999,0.58798182,1.03433582
2015-10-01,2015,Oktober,3435017.83,1054511.77,890793.4,3153530.24,1941872.93,167406.08,6714338.57,12858697.92,9756304.22,1759364.82,694618.92,1192280.19,3.43501783,1.05451177,0.8907934000000001,3.1535302400000003,1.94187293,0.16740607999999998,6.714338570000001,12.85869792,9.75630422,1.75936482,0.69461892,1.19228019
