Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.01.2015;01.02.2015;3.479.938,77;1.186.617,59;264.490,14;9.404.178,83;560.194,61;175.611,97;8.201.762,38;11.800.183,18;6.387.685,58;1.405.688,92;762.023,04;839.702,19
01.02.2015;01.03.2015;3.153.613,46;871.004,80;284.790,22;5.181.228,19;1.367.809,39;154.664,97;7.498.808,73;11.249.755,30;7.886.895,71;1.615.352,60;651.887,77;797.723,97
01.03.2015;01.04.2015;3.437.602,13;1.030.917,99;434.443,05;6.865.747,54;2.839.770,88;156.243,35;7.308.641,32;12.177.183,02;7.320.063,65;1.359.908,55;718.934,49;817.338,79
01.04.2015;01.05.2015;3.269.723,30;1.248.928,32;379.940,40;4.837.677,66;4.380.466,76;151.245,19;6.858.356,45;10.200.743,22;5.994.324,95;850.196,84;676.779,64;770.986,52
01.05.2015;01.06.2015;3.361.025,36;1.560.655,41;566.551,40;4.848.138,13;4.366.740,00;136.081,97;6.930.784,48;8.935.798,05;4.295.091,75;866.135,02;747.062,94;714.053,44
01.06.2015;01.07.2015;3.148.634,57;1.530.080,42;482.704,86;3.703.068,02;4.565.107,66;130.830,06;6.255.284,14;9.783.882,06;5.766.215,62;785.115,21;713.295,32;715.374,22
01.07.2015;01.08.2015;3.154.176,33;1.428.882,87;711.055,23;5.258.582,06;4.919.012,42;128.932,93;5.087.525,84;11.028.702,59;6.224.532,46;1.135.712,59;713.222,58;702.168,93
01.08.2015;01.09.2015;3.171.875,11;1.294.891,54;573.051,14;3.325.961,09;4.619.954,60;126.557,45;7.067.474,42;11.690.165,04;6.408.932,47;854.279,14;640.851,40;685.433,04
01.09.2015;01.10.2015;3.215.482,95;1.123.136,94;770.218,89;4.861.013,13;3.187.844,77;141.784,91;7.292.421,45;12.245.028,06;7.751.902,28;880.402,71;587.981,82;1.034.335,82
01.10.2015;01.11.2015;3.435.017,83;1.054.511,77;890.793,40;3.153.530,24;1.941.872,93;167.406,08;6.714.338,57;12.858.697,92;9.756.304,22;1.759.364,82;694.618,92;1.192.280,19
01.11.2015;01.12.2015;3.367.881,05;848.746,18;1.297.678,34;9.354.374,59;1.138.657,83;167.095,84;7.465.126,85;11.069.423,45;7.112.669,21;1.901.767,96;645.270,80;1.104.250,32
01.12.2015;01.01.2016;3.556.113,60;915.792,52;1.507.018,69;10.375.239,63;847.248,93;176.848,81;7.682.960,28;10.758.157,55;6.234.033,65;1.811.952,19;648.509,51;1.051.661,63
01.01.2016;01.02.2016;3.559.094,06;1.007.806,82;1.386.330,49;8.154.722,12;675.069,89;192.317,13;7.813.365,66;11.762.657,99;8.065.569,21;2.456.380,34;723.297,58;1.149.485,92
01.02.2016;01.03.2016;3.364.925,94;1.157.603,97;1.156.101,90;8.863.699,37;1.262.446,34;169.960,20;7.218.782,88;10.601.948,40;6.528.947,58;1.684.994,44;667.189,77;1.064.211,56
01.03.2016;01.04.2016;3.607.140,01;1.358.744,26;853.287,65;5.283.413,67;2.492.565,56;186.204,69;7.687.228,40;11.022.927,13;7.819.384,96;1.506.569,51;622.185,13;1.207.381,78
01.04.2016;01.05.2016;3.418.680,95;1.600.631,11;887.578,63;5.168.800,07;3.955.764,35;151.780,64;5.127.448,71;10.742.436,23;6.669.299,70;1.130.953,13;620.325,93;1.052.536,03
01.05.2016;01.06.2016;3.440.723,60;1.865.288,49;936.942,04;5.287.533,74;4.948.148,45;143.620,61;4.869.633,50;10.058.847,36;5.326.787,51;1.188.228,67;644.920,68;1.090.491,78
01.06.2016;01.07.2016;3.218.523,54;1.907.809,85;566.119,47;2.837.406,08;4.744.944,69;124.143,97;5.967.672,17;9.580.803,94;6.660.841,79;1.116.913,49;675.701,38;1.106.423,12
01.07.2016;01.08.2016;3.288.701,55;2.071.244,08;796.113,71;3.981.831,69;4.924.811,06;119.613,71;6.138.018,21;10.626.615,09;5.881.933,90;1.152.711,89;645.942,96;1.100.974,54
01.08.2016;01.09.2016;3.300.759,80;2.007.044,29;879.296,92;3.987.187,74;4.701.708,39;117.914,90;7.014.115,48;10.533.579,70;5.409.502,21;1.767.611,19;678.285,39;1.123.010,53
01.09.2016;01.10.2016;3.224.239,49;1.565.762,84;710.972,98;3.564.466,48;3.843.236,71;120.491,58;6.844.051,81;11.008.449,28;6.590.783,24;2.379.832,56;642.505,86;1.188.053,98
01.10.2016;01.11.2016;3.513.995,79;1.180.029,46;1.304.620,45;4.422.605,09;1.672.957,17;158.199,61;7.831.158,26;11.808.648,13;7.079.270,04;2.736.041,67;662.464,22;1.239.422,96
01.11.2016;01.12.2016;3.456.602,60;1.172.522,61;1.316.919,24;6.763.849,19;1.000.725,21;175.121,33;7.424.053,67;11.553.165,19;7.494.490,88;2.626.352,82;695.047,61;1.177.749,24
